instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
6x6_0.npz,564,564,596,625,642,654,679
6x6_1.npz,479,479,529,543,532,589,539
6x6_10.npz,487,487,560,495,533,533,533
6x6_11.npz,574,574,664,642,678,638,651
6x6_12.npz,625,625,665,726,737,726,625
6x6_13.npz,531,531,599,604,604,604,571
6x6_14.npz,454,454,506,526,526,526,522
6x6_15.npz,551,551,595,629,607,615,595
6x6_16.npz,541,541,553,552,578,575,575
6x6_17.npz,439,439,469,482,482,482,480
6x6_18.npz,433,433,473,448,492,477,467
6x6_19.npz,461,461,609,516,587,529,484
6x6_2.npz,525,525,656,577,528,545,579
6x6_20.npz,541,541,588,643,609,609,558
6x6_21.npz,577,577,597,686,625,649,611
6x6_22.npz,464,464,535,615,533,533,512
6x6_23.npz,444,444,492,466,504,489,474
6x6_24.npz,480,480,633,496,481,481,481
6x6_25.npz,601,601,631,648,687,665,601
6x6_26.npz,448,448,558,448,581,581,463
6x6_27.npz,525,525,641,655,635,635,541
6x6_28.npz,452,452,499,539,539,620,466
6x6_29.npz,373,373,473,449,394,430,404
6x6_3.npz,517,517,531,537,630,580,541
6x6_30.npz,407,407,455,442,455,431,408
6x6_31.npz,476,476,574,497,497,497,513
6x6_32.npz,422,422,570,528,509,509,500
6x6_33.npz,524,524,592,579,581,581,534
6x6_34.npz,381,381,399,452,406,485,381
6x6_35.npz,383,383,431,431,431,431,431
6x6_36.npz,451,451,542,493,460,504,523
6x6_37.npz,475,475,562,539,540,544,533
6x6_38.npz,487,487,559,513,539,547,492
6x6_39.npz,445,445,481,483,509,524,478
6x6_4.npz,476,476,561,498,547,547,484
6x6_40.npz,511,511,614,573,540,594,580
6x6_41.npz,464,464,520,516,516,516,533
6x6_42.npz,436,436,457,474,457,474,457
6x6_43.npz,431,431,431,548,484,442,431
6x6_44.npz,574,574,694,597,633,664,588
6x6_45.npz,539,539,557,610,620,634,584
6x6_46.npz,464,464,505,544,520,475,493
6x6_47.npz,542,542,576,612,576,608,544
6x6_48.npz,423,423,500,503,463,463,427
6x6_49.npz,482,482,503,503,603,618,504
6x6_5.npz,431,431,435,471,472,472,471
6x6_50.npz,459,459,473,571,582,582,473
6x6_51.npz,479,479,598,572,537,572,540
6x6_52.npz,495,495,617,639,617,639,511
6x6_53.npz,563,563,612,618,681,677,623
6x6_54.npz,547,547,601,619,562,613,552
6x6_55.npz,412,412,420,495,494,494,441
6x6_56.npz,390,390,408,429,427,390,429
6x6_57.npz,501,501,544,523,544,545,540
6x6_58.npz,383,383,477,426,434,453,386
6x6_59.npz,469,469,469,544,538,576,486
6x6_6.npz,487,487,609,598,598,598,487
6x6_60.npz,446,446,501,510,471,471,464
6x6_61.npz,450,450,493,450,450,450,450
6x6_62.npz,401,401,486,432,460,460,453
6x6_63.npz,482,482,526,616,632,632,567
6x6_64.npz,466,466,528,490,490,490,490
6x6_65.npz,514,514,615,568,612,529,524
6x6_66.npz,496,496,496,574,534,534,508
6x6_67.npz,558,558,653,674,634,651,623
6x6_68.npz,479,479,498,509,498,498,498
6x6_69.npz,427,427,434,475,501,501,478
6x6_7.npz,551,551,655,590,628,642,623
6x6_70.npz,407,407,464,464,464,464,464
6x6_71.npz,492,492,570,512,524,566,541
6x6_72.npz,498,498,543,602,558,585,498
6x6_73.npz,550,550,716,578,579,579,615
6x6_74.npz,520,520,537,555,537,537,537
6x6_75.npz,461,461,572,479,542,542,467
6x6_76.npz,460,460,521,505,486,626,580
6x6_77.npz,453,453,548,609,605,609,560
6x6_78.npz,544,544,671,662,574,546,559
6x6_79.npz,518,518,632,579,561,561,544
6x6_8.npz,488,488,544,544,593,544,526
6x6_80.npz,388,388,501,470,511,510,431
6x6_81.npz,463,463,565,483,513,483,469
6x6_82.npz,465,465,487,563,551,510,498
6x6_83.npz,555,555,693,624,598,619,636
6x6_84.npz,561,561,656,618,645,611,661
6x6_85.npz,497,497,543,517,504,517,554
6x6_86.npz,495,495,592,506,506,536,545
6x6_87.npz,507,507,549,570,563,600,594
6x6_88.npz,491,491,561,515,566,555,526
6x6_89.npz,534,534,607,592,552,592,582
6x6_9.npz,500,500,716,572,577,577,525
6x6_90.npz,435,435,470,475,475,475,472
6x6_91.npz,555,555,630,577,597,633,573
6x6_92.npz,464,464,519,483,520,520,483
6x6_93.npz,481,481,509,499,499,499,531
6x6_94.npz,510,510,539,606,580,580,530
6x6_95.npz,456,456,578,539,561,544,479
6x6_96.npz,469,469,525,540,524,524,540
6x6_97.npz,514,514,593,571,571,571,557
6x6_98.npz,472,472,557,530,517,535,482
6x6_99.npz,524,524,572,665,610,534,546
