instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
6x6_0.npz,714,697,728,764,721,690,791
6x6_1.npz,683,587,692,681,633,633,676
6x6_10.npz,903,725,898,895,840,840,792
6x6_11.npz,696,600,788,697,675,787,665
6x6_12.npz,688,575,613,574,592,666,635
6x6_13.npz,567,511,544,563,567,559,557
6x6_14.npz,529,487,581,569,529,529,580
6x6_15.npz,604,517,685,543,571,620,579
6x6_16.npz,679,553,717,695,593,636,646
6x6_17.npz,914,726,1060,830,824,770,899
6x6_18.npz,810,588,733,791,641,627,637
6x6_19.npz,702,574,842,714,638,702,587
6x6_2.npz,738,663,765,780,698,748,745
6x6_20.npz,675,545,653,580,557,627,631
6x6_21.npz,793,609,805,769,765,765,820
6x6_22.npz,782,606,784,753,809,809,728
6x6_23.npz,741,545,609,735,637,708,656
6x6_24.npz,597,578,693,574,610,532,600
6x6_25.npz,705,586,921,725,794,794,806
6x6_26.npz,733,597,744,586,543,538,723
6x6_27.npz,692,582,666,631,621,621,639
6x6_28.npz,613,546,582,547,582,559,609
6x6_29.npz,667,547,658,595,615,615,705
6x6_3.npz,633,605,782,625,750,750,823
6x6_30.npz,689,638,803,652,699,652,749
6x6_31.npz,663,564,701,637,556,556,672
6x6_32.npz,799,529,659,623,643,643,695
6x6_33.npz,682,610,851,769,675,675,876
6x6_34.npz,887,720,862,799,775,851,953
6x6_35.npz,941,701,844,899,956,899,739
6x6_36.npz,586,555,589,575,592,575,559
6x6_37.npz,842,772,883,798,789,854,786
6x6_38.npz,650,535,535,721,600,676,567
6x6_39.npz,764,639,750,750,711,711,785
6x6_4.npz,702,617,795,778,745,745,670
6x6_40.npz,722,605,694,674,674,674,649
6x6_41.npz,731,681,704,705,768,764,741
6x6_42.npz,941,726,940,830,964,931,843
6x6_43.npz,532,484,546,538,505,505,572
6x6_44.npz,528,467,540,512,505,510,530
6x6_45.npz,711,685,771,703,812,701,696
6x6_46.npz,824,722,829,837,829,829,902
6x6_47.npz,697,547,701,565,536,582,630
6x6_48.npz,730,620,634,671,650,650,744
6x6_49.npz,779,611,614,728,607,745,684
6x6_5.npz,616,570,676,610,582,603,649
6x6_50.npz,817,506,816,818,638,699,640
6x6_51.npz,767,607,871,617,707,747,748
6x6_52.npz,814,637,742,644,802,802,814
6x6_53.npz,568,509,555,581,550,581,568
6x6_54.npz,737,558,743,743,751,711,763
6x6_55.npz,829,778,852,905,821,905,902
6x6_56.npz,568,529,676,563,480,480,568
6x6_57.npz,639,551,656,665,618,664,570
6x6_58.npz,950,727,900,762,762,762,806
6x6_59.npz,1076,870,823,940,823,887,957
6x6_6.npz,741,665,812,702,702,702,736
6x6_60.npz,868,644,757,752,792,752,807
6x6_61.npz,716,649,761,686,803,758,667
6x6_62.npz,795,691,748,804,751,751,873
6x6_63.npz,731,685,712,692,687,687,840
6x6_64.npz,691,627,653,761,693,761,766
6x6_65.npz,973,751,943,643,852,781,973
6x6_66.npz,695,611,774,659,792,763,653
6x6_67.npz,619,606,652,739,647,647,732
6x6_68.npz,841,632,852,753,765,770,774
6x6_69.npz,846,600,809,846,846,661,647
6x6_7.npz,591,491,623,595,623,623,602
6x6_70.npz,738,687,787,777,921,873,751
6x6_71.npz,706,568,659,682,790,758,720
6x6_72.npz,728,618,776,779,708,699,678
6x6_73.npz,601,586,696,818,749,818,700
6x6_74.npz,637,511,552,552,561,561,511
6x6_75.npz,704,587,676,690,668,668,637
6x6_76.npz,583,531,583,536,583,568,602
6x6_77.npz,916,694,829,681,686,721,726
6x6_78.npz,733,574,698,633,633,633,680
6x6_79.npz,842,680,859,849,785,907,830
6x6_8.npz,685,644,666,732,697,697,739
6x6_80.npz,560,532,609,557,542,542,570
6x6_81.npz,658,556,767,604,613,613,613
6x6_82.npz,555,491,585,542,499,499,565
6x6_83.npz,725,604,752,701,740,740,952
6x6_84.npz,935,676,1028,878,921,915,867
6x6_85.npz,811,624,856,651,700,790,808
6x6_86.npz,834,596,805,862,768,641,609
6x6_87.npz,709,587,758,679,679,832,592
6x6_88.npz,664,578,788,800,797,795,695
6x6_89.npz,944,663,929,906,919,823,944
6x6_9.npz,727,644,726,703,703,717,717
6x6_90.npz,682,607,628,650,717,650,648
6x6_91.npz,656,557,646,681,584,652,680
6x6_92.npz,726,689,761,707,697,762,750
6x6_93.npz,779,653,768,769,771,771,705
6x6_94.npz,985,684,837,664,838,786,848
6x6_95.npz,680,608,896,592,743,730,686
6x6_96.npz,733,594,729,616,712,712,760
6x6_97.npz,781,726,823,776,849,870,741
6x6_98.npz,708,643,738,718,752,787,714
6x6_99.npz,712,689,880,725,708,708,735
