instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
50x15_0.npz,4541,3734,4810,4171,4023,3936,3846
50x15_1.npz,4807,3697,5048,4195,4265,4201,4117
50x15_10.npz,5002,3871,5330,4287,4046,4180,4021
50x15_11.npz,4839,3660,4939,4090,4210,4275,3991
50x15_12.npz,4858,3787,5426,4299,4144,4290,4048
50x15_13.npz,4939,3901,5025,4549,4529,4578,4127
50x15_14.npz,4948,3561,4951,4314,4155,4117,3679
50x15_15.npz,5188,4005,5402,4995,4753,4607,4134
50x15_16.npz,5376,3731,5325,4574,4335,4236,4184
50x15_17.npz,4988,3812,5119,4594,4367,4405,4267
50x15_18.npz,4873,3822,4988,4310,4292,4245,3860
50x15_19.npz,5353,4072,5578,4385,4381,4352,4275
50x15_2.npz,4966,3924,5063,4450,4270,4857,4208
50x15_20.npz,4616,3715,4941,4374,4293,4268,3781
50x15_21.npz,4912,3784,4981,4205,4217,4390,4090
50x15_22.npz,4580,3709,4874,3973,4164,4140,3815
50x15_23.npz,5041,3632,5404,4584,4188,4111,4085
50x15_24.npz,4799,3630,4843,4207,4156,4048,4113
50x15_25.npz,4883,4029,5090,4536,4185,4377,4146
50x15_26.npz,4929,3897,4960,4255,4225,4281,3944
50x15_27.npz,4926,3828,4968,4534,4229,4228,4132
50x15_28.npz,4695,3453,4717,3992,4022,4215,3727
50x15_29.npz,4923,3847,4926,4096,4204,4075,3875
50x15_3.npz,4870,3877,4901,4304,4381,4251,3951
50x15_30.npz,5081,3892,5131,4279,4420,4360,3927
50x15_31.npz,4821,3694,5228,4343,4249,4403,3960
50x15_32.npz,4416,3620,4804,4201,4191,4347,4063
50x15_33.npz,5086,3870,4880,4516,4227,4344,4111
50x15_34.npz,4734,3670,4941,4248,4230,4370,3941
50x15_35.npz,4746,4084,4940,4082,4157,4233,4202
50x15_36.npz,4849,3607,5110,4458,4095,4271,3789
50x15_37.npz,4858,3515,4951,4401,4105,3895,3776
50x15_38.npz,5028,3891,5142,4405,4188,4315,4097
50x15_39.npz,4962,3874,5097,4375,4372,4336,4125
50x15_4.npz,5042,3978,4939,4711,4231,4368,3944
50x15_40.npz,4651,3942,4701,3967,4137,4200,3962
50x15_41.npz,4799,3645,4954,4180,4123,4115,3899
50x15_42.npz,4761,3841,5109,4265,4196,4016,3847
50x15_43.npz,5061,4019,5095,4327,4508,4491,4115
50x15_44.npz,5078,3678,5381,4436,4234,4460,4025
50x15_45.npz,4818,3786,4816,4195,4017,4112,3873
50x15_46.npz,4998,3709,5119,4211,4146,4035,4081
50x15_47.npz,5140,4022,5091,4601,4429,4634,3911
50x15_48.npz,4732,3690,4812,4463,4068,4311,4218
50x15_49.npz,5323,3641,5523,4167,4024,4212,4043
50x15_5.npz,4946,3653,5029,4230,4261,4392,3802
50x15_50.npz,4765,3814,5051,4108,4186,4158,4004
50x15_51.npz,5399,3929,5618,5040,4887,4837,4330
50x15_52.npz,5220,3925,5553,4254,4144,4151,4117
50x15_53.npz,5240,3837,5484,4689,4296,4588,3933
50x15_54.npz,4829,4093,5027,4578,4641,4707,4179
50x15_55.npz,5206,3932,5469,4309,4106,4261,4181
50x15_56.npz,4786,3823,4887,4333,4212,4159,3996
50x15_57.npz,5072,3697,5211,4464,4442,4371,4203
50x15_58.npz,5014,3594,5065,4409,4263,4579,3950
50x15_59.npz,4810,3834,5027,4158,4244,4123,4001
50x15_6.npz,5268,3936,5325,4322,4492,4310,4266
50x15_60.npz,4948,3790,5244,4402,4249,4451,3914
50x15_61.npz,4534,3751,4492,4130,4130,4127,3937
50x15_62.npz,4754,3644,4806,4283,4118,4450,3898
50x15_63.npz,5271,3672,5320,4606,4346,4197,4166
50x15_64.npz,5165,3977,5211,4490,4297,4213,4248
50x15_65.npz,4861,3576,5055,4347,4048,4215,4003
50x15_66.npz,5175,3749,5152,4204,4110,4160,4026
50x15_67.npz,5104,4146,5389,4513,4329,4781,4369
50x15_68.npz,5048,3875,5157,4441,4391,4653,4246
50x15_69.npz,4716,3665,4937,4189,3936,4168,3924
50x15_7.npz,4915,3948,5298,4554,4417,4572,4191
50x15_70.npz,4799,3693,5110,4200,4071,4244,3955
50x15_71.npz,5315,3795,5528,4303,4083,4330,4025
50x15_72.npz,4813,3904,5299,4166,4403,4467,4023
50x15_73.npz,5378,3826,5538,4713,4617,4619,4276
50x15_74.npz,4853,3966,4957,4543,4470,4608,4256
50x15_75.npz,5128,3876,5067,4493,4482,4424,4150
50x15_76.npz,5008,3664,4835,4434,4186,4321,4347
50x15_77.npz,5190,3698,5472,4192,4042,4309,4054
50x15_78.npz,4993,3724,5045,4139,4566,4069,3859
50x15_79.npz,5403,3898,5481,4406,4403,4498,4152
50x15_8.npz,4936,3738,5247,4371,4340,4075,3965
50x15_80.npz,5074,3842,5171,4342,4223,4520,3951
50x15_81.npz,5012,3860,5163,4329,4288,4089,4325
50x15_82.npz,4704,3844,5256,4405,4175,4286,4000
50x15_83.npz,5166,3868,5223,4173,4285,4186,3973
50x15_84.npz,5014,3664,5106,4361,4205,4430,3979
50x15_85.npz,5175,3878,5435,4376,4135,4384,4175
50x15_86.npz,5247,3862,5411,4556,4403,4706,4079
50x15_87.npz,5021,3944,5622,4605,4573,4535,4078
50x15_88.npz,5518,3939,5197,4120,4192,4215,3982
50x15_89.npz,5165,3913,4990,4241,4041,4248,4128
50x15_9.npz,5213,3782,5278,4282,4306,4109,3991
50x15_90.npz,5036,3937,4921,4152,4387,4223,4060
50x15_91.npz,4877,3673,5143,4365,4227,4301,4143
50x15_92.npz,5014,3996,5126,4427,4512,4408,3872
50x15_93.npz,5076,3823,5377,4454,4431,4729,4353
50x15_94.npz,5652,4094,5667,4245,4585,4546,4253
50x15_95.npz,5088,3928,5085,4402,4292,4440,4057
50x15_96.npz,4738,3775,5211,4339,4324,4129,4042
50x15_97.npz,5029,3709,5246,3997,4144,4301,4023
50x15_98.npz,5027,3345,5105,4068,3944,3933,3744
50x15_99.npz,4753,3846,4940,4112,3924,4360,3824
