instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
20x15_0.npz,1405,1396,1723,1548,1649,1565,1460
20x15_1.npz,1473,1437,1815,1682,1634,1767,1631
20x15_10.npz,1509,1459,1743,1698,1664,1685,1639
20x15_11.npz,1448,1440,1650,1727,1714,1701,1588
20x15_12.npz,1436,1424,1888,1792,1581,1621,1618
20x15_13.npz,1405,1430,1658,1653,1644,1633,1510
20x15_14.npz,1431,1420,1711,1594,1616,1680,1550
20x15_15.npz,1364,1335,1806,1643,1546,1479,1421
20x15_16.npz,1457,1445,1968,1654,1604,1684,1590
20x15_17.npz,1367,1351,1642,1663,1579,1523,1468
20x15_18.npz,1600,1598,1942,1871,1789,1962,1734
20x15_19.npz,1519,1524,1792,1862,1918,1910,1740
20x15_2.npz,1574,1566,1918,1812,1913,1754,1715
20x15_20.npz,1382,1362,1769,1547,1579,1581,1522
20x15_21.npz,1446,1453,1703,1610,1578,1639,1527
20x15_22.npz,1489,1465,1804,1717,1585,1665,1685
20x15_23.npz,1423,1412,1792,1576,1663,1650,1551
20x15_24.npz,1340,1348,1628,1583,1618,1545,1522
20x15_25.npz,1434,1436,1792,1656,1642,1635,1616
20x15_26.npz,1520,1496,1921,1686,1666,1651,1611
20x15_27.npz,1510,1489,1789,1817,1649,1777,1673
20x15_28.npz,1457,1452,1728,1679,1699,1651,1685
20x15_29.npz,1417,1446,1851,1691,1622,1589,1570
20x15_3.npz,1310,1300,1741,1487,1533,1419,1462
20x15_30.npz,1397,1406,1701,1634,1680,1671,1590
20x15_31.npz,1479,1440,1818,1788,1761,1809,1642
20x15_32.npz,1470,1471,1624,1608,1683,1629,1568
20x15_33.npz,1423,1415,1688,1599,1646,1627,1639
20x15_34.npz,1436,1406,1724,1559,1617,1616,1598
20x15_35.npz,1506,1509,1743,1793,1811,1795,1672
20x15_36.npz,1390,1377,1649,1589,1561,1532,1529
20x15_37.npz,1471,1470,1874,1705,1716,1735,1640
20x15_38.npz,1401,1401,1722,1606,1590,1605,1589
20x15_39.npz,1384,1398,1882,1503,1554,1477,1533
20x15_4.npz,1458,1441,1846,1581,1624,1588,1761
20x15_40.npz,1374,1384,1704,1580,1585,1569,1443
20x15_41.npz,1435,1442,1848,1678,1602,1660,1651
20x15_42.npz,1327,1319,1728,1646,1524,1559,1509
20x15_43.npz,1481,1487,1858,1633,1656,1667,1635
20x15_44.npz,1546,1580,2201,1695,1742,1738,1719
20x15_45.npz,1439,1435,1716,1685,1610,1653,1737
20x15_46.npz,1356,1342,1574,1500,1535,1530,1418
20x15_47.npz,1427,1396,1786,1553,1585,1623,1558
20x15_48.npz,1346,1338,1647,1512,1512,1556,1454
20x15_49.npz,1377,1358,1635,1555,1510,1508,1483
20x15_5.npz,1350,1344,1629,1522,1555,1551,1506
20x15_50.npz,1338,1338,1579,1544,1507,1604,1501
20x15_51.npz,1481,1458,1922,1694,1775,1707,1633
20x15_52.npz,1499,1597,1951,1898,1833,1835,1631
20x15_53.npz,1481,1471,1701,1700,1683,1620,1556
20x15_54.npz,1355,1364,1552,1540,1561,1481,1434
20x15_55.npz,1421,1420,1784,1744,1706,1592,1567
20x15_56.npz,1371,1395,1615,1551,1597,1553,1486
20x15_57.npz,1517,1493,1842,1736,1740,1742,1663
20x15_58.npz,1317,1317,1795,1607,1573,1550,1452
20x15_59.npz,1395,1374,1625,1536,1597,1566,1643
20x15_6.npz,1354,1367,1633,1680,1726,1617,1672
20x15_60.npz,1473,1528,1763,1678,1635,1731,1653
20x15_61.npz,1448,1448,1964,1666,1629,1655,1524
20x15_62.npz,1489,1468,1737,1611,1640,1707,1569
20x15_63.npz,1493,1504,1897,1640,1661,1668,1605
20x15_64.npz,1441,1436,1774,1754,1673,1785,1663
20x15_65.npz,1585,1572,1866,1848,1794,1803,1720
20x15_66.npz,1416,1423,1706,1699,1648,1665,1539
20x15_67.npz,1385,1370,1643,1521,1569,1551,1469
20x15_68.npz,1378,1378,1648,1710,1675,1582,1590
20x15_69.npz,1357,1378,1601,1569,1612,1550,1446
20x15_7.npz,1405,1425,1704,1606,1607,1617,1623
20x15_70.npz,1405,1382,1632,1629,1671,1615,1605
20x15_71.npz,1393,1360,1603,1693,1640,1617,1553
20x15_72.npz,1369,1391,1672,1539,1557,1539,1612
20x15_73.npz,1478,1445,1739,1662,1613,1638,1678
20x15_74.npz,1455,1463,2097,1654,1638,1572,1596
20x15_75.npz,1463,1455,1796,1709,1778,1814,1618
20x15_76.npz,1496,1495,1770,1617,1682,1626,1626
20x15_77.npz,1404,1382,1587,1713,1680,1635,1596
20x15_78.npz,1488,1469,1711,1720,1691,1693,1669
20x15_79.npz,1419,1400,1656,1591,1525,1525,1506
20x15_8.npz,1471,1499,1715,1587,1521,1626,1528
20x15_80.npz,1461,1478,1753,1654,1687,1630,1591
20x15_81.npz,1455,1440,1891,1562,1539,1587,1532
20x15_82.npz,1432,1440,1676,1690,1729,1710,1548
20x15_83.npz,1471,1447,1778,1738,1685,1688,1584
20x15_84.npz,1392,1387,1912,1674,1711,1608,1502
20x15_85.npz,1410,1369,1614,1567,1670,1664,1520
20x15_86.npz,1469,1432,1659,1629,1581,1659,1562
20x15_87.npz,1436,1459,1787,1732,1623,1597,1605
20x15_88.npz,1362,1404,1822,1517,1567,1562,1484
20x15_89.npz,1497,1498,1746,1738,1738,1765,1691
20x15_9.npz,1470,1497,1830,1679,1688,1612,1621
20x15_90.npz,1503,1451,1970,1714,1740,1754,1632
20x15_91.npz,1428,1442,1799,1632,1615,1684,1588
20x15_92.npz,1429,1429,1737,1769,1738,1783,1793
20x15_93.npz,1395,1375,1588,1592,1654,1612,1572
20x15_94.npz,1424,1405,1654,1519,1503,1639,1605
20x15_95.npz,1443,1481,1869,1587,1623,1572,1533
20x15_96.npz,1497,1463,1947,1627,1806,1610,1602
20x15_97.npz,1343,1318,1574,1534,1490,1522,1459
20x15_98.npz,1377,1350,1595,1615,1616,1616,1503
20x15_99.npz,1431,1443,1811,1649,1645,1734,1578
