instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
30x15_0.npz,2066,2053,2232,2190,2190,2203,2143
30x15_1.npz,2069,2069,2432,2194,2143,2185,2129
30x15_10.npz,1942,1952,2245,2134,2116,2116,2052
30x15_11.npz,1871,1871,2465,2138,2163,2205,2071
30x15_12.npz,1963,1976,2168,2173,2138,2203,2073
30x15_13.npz,2035,2023,2273,2080,2157,2168,2137
30x15_14.npz,1919,1907,2152,2141,2172,2124,1988
30x15_15.npz,1939,1992,2312,2122,2106,2109,2005
30x15_16.npz,1935,1901,2270,2010,2060,1990,1929
30x15_17.npz,2018,2003,2299,2130,2072,2110,1996
30x15_18.npz,1966,1982,2280,2111,2083,2143,1986
30x15_19.npz,1929,1893,2150,1943,1907,1936,1905
30x15_2.npz,1845,1850,1987,2007,1976,1990,1914
30x15_20.npz,2038,2037,2263,2278,2197,2170,2114
30x15_21.npz,2046,2064,2282,2137,2030,2131,1978
30x15_22.npz,1834,1865,2052,2041,2018,2079,1865
30x15_23.npz,2035,2026,2317,2267,2241,2093,2148
30x15_24.npz,1808,1803,2110,2040,1970,1988,1968
30x15_25.npz,2003,2004,2317,2095,1948,2048,1929
30x15_26.npz,2097,2080,2418,2203,2326,2209,2038
30x15_27.npz,2105,2094,2266,2215,2168,2215,2129
30x15_28.npz,2089,2094,2556,2223,2084,2095,2060
30x15_29.npz,2025,2060,2451,2165,2094,2151,2109
30x15_3.npz,1949,2027,2265,2202,2120,2191,2039
30x15_30.npz,1811,1819,2044,2228,1977,2005,1883
30x15_31.npz,1958,1968,2312,2016,2088,2111,1953
30x15_32.npz,2067,2073,2305,2197,2098,2096,2126
30x15_33.npz,1919,1902,2145,2039,2111,2057,2040
30x15_34.npz,2014,1976,2246,2160,2130,2160,2006
30x15_35.npz,2006,2060,2380,2060,2151,2166,2153
30x15_36.npz,1988,1953,2234,2159,2124,2118,1974
30x15_37.npz,1831,1855,2090,1900,2168,2032,1851
30x15_38.npz,1934,1923,2123,2195,2082,2151,2028
30x15_39.npz,2081,1988,2314,2013,1979,2067,1994
30x15_4.npz,2081,2016,2417,2119,2144,2120,1966
30x15_40.npz,2091,2084,2329,2224,2202,2132,2111
30x15_41.npz,1966,1983,2385,2077,2168,2100,2244
30x15_42.npz,2085,2120,2380,2090,2089,2112,2364
30x15_43.npz,1996,1998,2356,2219,2183,2207,2060
30x15_44.npz,2086,2067,2441,2271,2149,2146,2044
30x15_45.npz,1994,1987,2302,2029,1962,2075,2186
