instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
30x10_0.npz,1713,1713,1950,1881,1852,1867,1784
30x10_1.npz,1871,1871,2173,1897,1908,1934,2104
30x10_10.npz,1767,1767,2489,1872,1913,1913,1838
30x10_11.npz,1748,1748,2188,1881,1903,1905,1880
30x10_12.npz,1683,1683,2181,1871,1832,1799,1766
30x10_13.npz,1647,1647,1809,1791,1809,1852,1717
30x10_14.npz,1674,1674,2052,1806,1820,1843,1736
30x10_15.npz,1596,1596,1742,1719,1735,1669,1600
30x10_16.npz,1808,1913,2235,2107,2147,2088,1908
30x10_17.npz,1614,1706,2250,1759,1817,1818,1687
30x10_18.npz,1781,1781,2128,1953,1887,1914,1791
30x10_19.npz,1816,1816,1941,2037,2011,1985,1971
30x10_2.npz,1846,1823,2314,2006,1972,1922,1942
30x10_20.npz,1814,1814,2195,1825,1817,1817,1814
30x10_21.npz,1752,1736,2007,1946,1850,1853,1824
30x10_22.npz,1755,1755,2052,1808,1798,1783,1802
30x10_23.npz,1746,1695,2081,1868,1876,1817,1775
30x10_24.npz,1802,1802,2051,1884,1847,1969,1964
30x10_25.npz,1749,1749,2109,1941,1979,1897,1767
30x10_26.npz,1840,1840,2099,1881,1915,1861,1899
30x10_27.npz,1855,1855,2166,1916,1855,1855,1855
30x10_28.npz,1805,1805,2199,1839,1899,1903,1838
30x10_29.npz,1757,1757,2269,1876,2001,1973,1829
30x10_3.npz,1673,1673,1913,1731,1673,1674,1673
30x10_30.npz,1808,1808,2333,2105,1953,2030,1963
30x10_31.npz,1650,1650,1986,1837,1847,1839,1835
30x10_32.npz,1903,1872,2171,2033,1983,2028,2026
30x10_33.npz,1756,1756,2063,1759,1756,1759,1756
30x10_34.npz,1792,1792,1944,1866,1938,1873,1858
30x10_35.npz,2007,1999,2303,2074,2099,2144,1955
30x10_36.npz,1672,1672,2037,2008,1958,1950,1818
30x10_37.npz,1566,1599,1940,1647,1673,1774,1613
30x10_38.npz,1725,1725,1781,1777,1725,1728,1746
30x10_39.npz,1636,1625,1818,1788,1839,1867,1660
30x10_4.npz,1746,1746,2182,1776,1803,1788,1748
30x10_40.npz,1768,1768,2122,1768,1838,1768,1782
30x10_41.npz,1785,1745,2235,1991,1929,1967,1821
30x10_42.npz,1714,1714,2060,1907,1879,1851,1773
30x10_43.npz,1794,1794,2224,1917,1932,1908,2202
30x10_44.npz,1749,1748,2005,1968,1949,1914,1863
30x10_45.npz,1771,1771,2156,1834,1864,1868,1788
30x10_46.npz,1551,1650,1791,1750,1850,1871,1723
30x10_47.npz,1667,1667,1968,1896,1898,1888,1821
30x10_48.npz,1619,1619,1891,1886,1796,1812,1670
30x10_49.npz,1719,1719,1921,1764,1721,1721,1764
30x10_5.npz,1642,1674,1905,1810,1896,1918,1799
30x10_50.npz,1857,1857,2168,1857,1857,1857,1857
30x10_51.npz,1799,1790,2131,2000,2056,2049,1883
30x10_52.npz,1736,1736,2014,1896,1928,2028,1794
30x10_53.npz,1803,1814,2043,1930,1956,1939,1967
