instance name,OR-Tools averagistic,OR-Tools realistic,SPT,MWKR,MOPNR,FDD/MWKR,model
30x10_0.npz,2790,2072,2708,2465,2417,2403,2335
30x10_1.npz,2639,2093,2769,2531,2397,2413,2291
30x10_10.npz,2625,2164,3156,2699,2531,2711,2470
30x10_11.npz,2665,2035,2825,2609,2439,2336,2313
30x10_12.npz,2825,2297,3252,2776,2626,2781,2451
30x10_13.npz,3146,2233,2958,2935,2706,2726,2577
30x10_14.npz,2657,2101,2910,2311,2296,2372,2246
30x10_15.npz,2619,1928,2721,2316,2297,2213,2189
30x10_16.npz,2707,2255,2736,2459,2504,2563,2368
30x10_17.npz,2865,2220,3096,2665,2596,2572,2515
30x10_18.npz,2941,2051,3000,2796,2496,2528,2479
30x10_19.npz,2670,1973,2604,2378,2478,2510,2307
30x10_2.npz,2603,2135,2895,2374,2550,2326,2306
30x10_20.npz,2649,2035,2934,2347,2377,2225,2319
30x10_21.npz,2803,2259,3399,2858,2974,3095,2690
30x10_22.npz,2801,2214,2960,2596,2451,2521,2471
30x10_23.npz,3034,2122,3151,2678,2658,2671,2461
30x10_24.npz,2631,1937,2756,2378,2207,2497,2173
30x10_25.npz,2746,2297,3149,2659,2759,2710,2653
30x10_26.npz,3199,2142,2977,2791,2333,2566,2493
30x10_27.npz,2739,2102,2916,2566,2606,2628,2416
30x10_28.npz,2641,2079,2871,2427,2331,2372,2319
30x10_29.npz,2974,2151,3162,2545,2521,2594,2639
30x10_3.npz,3166,2149,3326,2823,3012,2879,2397
30x10_30.npz,2751,2098,3102,2567,2766,2524,2348
30x10_31.npz,2719,2092,3041,2674,2490,2770,2607
30x10_32.npz,2737,2218,2960,2742,2763,2693,2645
30x10_33.npz,2743,2096,3001,2449,2471,2471,2662
30x10_34.npz,2837,2077,2926,2578,2475,2457,2251
30x10_35.npz,3113,2369,3105,2697,2773,2594,2527
30x10_36.npz,3031,2249,3035,2743,2522,2483,2577
30x10_37.npz,2793,2059,3081,2549,2511,2600,2239
30x10_38.npz,3104,2312,3337,2578,2769,2613,2635
30x10_39.npz,2847,2242,2932,3040,2640,2798,2600
30x10_4.npz,2961,2201,2881,2539,2435,2458,2353
30x10_40.npz,2719,2046,2844,2498,2455,2644,2421
30x10_41.npz,2703,2086,2633,2465,2430,2474,2317
30x10_42.npz,2815,2192,2859,2671,2764,3089,2478
30x10_43.npz,2677,2083,2985,2409,2448,2383,2234
30x10_44.npz,2851,2169,2904,2318,2476,2511,2258
30x10_45.npz,2743,2048,2741,2536,2535,2559,2291
30x10_46.npz,3031,2367,2886,2592,2487,2558,2604
30x10_47.npz,2699,2183,3000,2467,2458,2366,2416
30x10_48.npz,2633,2151,2818,2712,2547,2542,2544
30x10_49.npz,2643,2084,3185,2424,2784,2567,2579
30x10_5.npz,2692,2110,2968,2408,2269,2444,2297
30x10_50.npz,3111,2105,2827,2856,2830,2964,2651
30x10_51.npz,3020,2231,3148,2914,2759,2950,2772
30x10_52.npz,2766,2128,2900,2791,2703,2521,2552
30x10_53.npz,2812,2139,3102,2521,2439,2417,2419
30x10_54.npz,2567,1994,2717,2379,2518,2368,2432
